Subset,Class,precision,recall,f1-score,support
All,Abusive,0.753165870873988,0.7266172641698377,0.7396534148827727,4993.0
All,None,0.8621886484279297,0.8925287963647892,0.8770964224518407,9463.0
All,Religious,0.9221284879948086,0.8848069738480697,0.9030823006037496,1606.0
All,Sexual,0.8359486447931527,0.8120092378752887,0.823805060918463,2165.0
All,Threat,0.787828947368421,0.7507836990595611,0.7688603531300161,638.0
Bangla,Abusive,0.7759336099585062,0.7695473251028807,0.7727272727272727,2916.0
Bangla,None,0.8540692235734331,0.877462758289284,0.8656079639725053,4162.0
Bangla,Religious,0.9247382198952879,0.8965736040609137,0.9104381443298969,1576.0
Bangla,Sexual,0.8363463368220743,0.8315988647114475,0.8339658444022771,2114.0
Bangla,Threat,0.787828947368421,0.7507836990595611,0.7688603531300161,638.0
Romanized,Abusive,0.7189610389610389,0.666345690900337,0.6916541729135433,2077.0
Romanized,None,0.8684782608695653,0.9043576683644595,0.8860548932630995,5301.0
Romanized,Religious,0.6153846153846154,0.26666666666666666,0.37209302325581395,30.0
Romanized,Sexual,0.0,0.0,0.0,51.0
Romanized,Threat,0.0,0.0,0.0,0.0
