macro_f1,weighted_f1,accuracy,mcc,auroc,config,seed,minutes
0.7938,0.8079,0.8085,0.7068,0.9418,CE only,42,6.3
0.7981,0.8109,0.8121,0.711,0.9521,CE only,123,6.3
0.7963,0.8072,0.8073,0.7059,0.947,CE only,456,6.4
0.8073,0.8203,0.8214,0.7255,0.9556,+FGM,42,11.0
0.8079,0.8192,0.8218,0.7259,0.9563,+FGM,123,11.0
0.8062,0.8203,0.8222,0.7273,0.9551,+FGM,456,11.0
0.8048,0.8184,0.8193,0.7228,0.9523,+focal+CW,42,11.0
0.8047,0.8156,0.8195,0.7229,0.9565,+focal+CW,123,11.1
0.8069,0.8194,0.8203,0.724,0.957,+focal+CW,456,11.1
0.7965,0.8093,0.8099,0.7101,0.9427,+sampler,42,11.2
0.8015,0.8115,0.8102,0.7126,0.9447,+sampler,123,11.2
0.8005,0.8137,0.814,0.7161,0.9411,+sampler,456,11.2
0.8062,0.8176,0.8197,0.7234,0.9554,+MSD,42,11.1
0.8057,0.8175,0.8207,0.7247,0.9553,+MSD,123,11.0
0.8084,0.8209,0.8218,0.7264,0.9586,+MSD,456,11.1
0.809,0.8205,0.8228,0.7275,0.9567,+RDrop,42,15.4
0.8079,0.8211,0.824,0.7293,0.9567,+RDrop,123,15.3
0.8081,0.8203,0.8225,0.7271,0.9571,+RDrop,456,15.4
0.8088,0.8194,0.8197,0.7247,0.9553,+EMA,42,11.6
0.8094,0.8219,0.8228,0.7279,0.9579,+EMA,123,11.5
0.8096,0.8222,0.8234,0.7292,0.9583,+EMA,456,11.6
0.8049,0.8154,0.8155,0.719,0.952,Full stack,42,16.2
0.8056,0.8138,0.813,0.7159,0.9532,Full stack,123,16.2
0.8021,0.8144,0.8145,0.7178,0.9534,Full stack,456,16.2
