model,seed,macro_f1,weighted_f1,accuracy,mcc,auroc
banglishbert,42,0.8069,0.8201,0.8206,0.7252,0.9567
banglishbert,123,0.8086,0.8176,0.8169,0.7209,0.9456
banglishbert,456,0.8103,0.8199,0.8202,0.7262,0.9522
banglabert,42,0.8126,0.816,0.815,0.752,0.9569
banglabert,123,0.813,0.8188,0.818,0.7561,0.9591
banglabert,456,0.8108,0.8177,0.8169,0.7547,0.9571
muril,42,0.8055,0.8177,0.8185,0.7231,0.9521
muril,123,0.8084,0.8216,0.8222,0.7284,0.9502
muril,456,0.8066,0.8198,0.821,0.7259,0.9523
xlmr,42,0.8052,0.8159,0.8161,0.7199,0.9538
xlmr,123,0.8016,0.8144,0.8145,0.7166,0.9503
xlmr,456,0.8035,0.8173,0.8181,0.7215,0.9501
